Source,Field,Field(lower),Descriptor,Label,category,text
Episode DM,ENDDTX,enddtx,Type of end of episode APPEND 4,event,event,Episode DM ENDDTX Type of end of episode APPEND 4
Medication DM,STOID,stoid,Reason of anulation APPEND 7,event,event,Medication DM STOID Reason of anulation APPEND 7
Vital Signs DM,DTTYP,dttyp,Type of data of the parameter,event,event,Vital Signs DM DTTYP Type of data of the parameter
Vital Signs DM,IDVS,idvs,Unique identifier of vital sign,event,event,Vital Signs DM IDVS Unique identifier of vital sign
Vital Signs DM,TYPEVS,typevs,Place of record of the vital sig  APPEND 11,event,event,Vital Signs DM TYPEVS Place of record of the vital sig  APPEND 11
Monitoring Parameters DM,WERTMAX,wertmax,Max value of the warning area,event,event,Monitoring Parameters DM WERTMAX Max value of the warning area
Medication DM,MOSTX,mostx,Medication  Prescription  Comment  ,event,event,Medication DM MOSTX Medication  Prescription  Comment  
Vital Signs DM,VBEM,vbem,Comment,event,event,Vital Signs DM VBEM Comment
Diagnostic DM,DKEY1,dkey1,Code of a diagnostic APPEND 9,event,event,Diagnostic DM DKEY1 Code of a diagnostic APPEND 9
Monitoring Parameters DM,VBEM,vbem,Comment,event,event,Monitoring Parameters DM VBEM Comment
Monitoring Parameters DM,WERTMIN,wertmin,Minimum value of the warning area,event,event,Monitoring Parameters DM WERTMIN Minimum value of the warning area
Medication DM,MOTX,motx, Medication  description of the prescription APPEND 6,event,event,Medication DM MOTX  Medication  description of the prescription APPEND 6
Medication DM,STORN,storn,Identifier of nullification,event,event,Medication DM STORN Identifier of nullification
Episode DM,EINZG,einzg,Health sector,event,event,Episode DM EINZG Health sector
Episode DM,FATXT,fatxt,Speciality for organizatoy unit APPEND 3,event,event,Episode DM FATXT Speciality for organizatoy unit APPEND 3
Episode DM,STATU,statu,Status of the episode,event,event,Episode DM STATU Status of the episode
Episode DM,FALAR,falar,Type of episode,event,event,Episode DM FALAR Type of episode
Episode DM,KRZAN,krzan,Quick admission indicator,event,event,Episode DM KRZAN Quick admission indicator
Order Entry DM,IDODR,idodr,Unique identifier for order entry,event,event,Order Entry DM IDODR Unique identifier for order entry
Diagnostic DM,LFDNR,lfdnr,Number of actual diagnostic,event,event,Diagnostic DM LFDNR Number of actual diagnostic
Episode DM,CASETX,casetx,Type of episode APPEND 2,event,event,Episode DM CASETX Type of episode APPEND 2
Vital Signs DM,VWERT,vwert,Value of the parameter,event,event,Vital Signs DM VWERT Value of the parameter
Medication DM,STUSR,stusr,Professional id responsible of the anulation,event,event,Medication DM STUSR Professional id responsible of the anulation
Episode DM,BEKAT,bekat,Category of treatment  APPEND 1,event,event,Episode DM BEKAT Category of treatment  APPEND 1
Monitoring Parameters DM,WERTOGR,wertogr,Superior limit of normal area,event,event,Monitoring Parameters DM WERTOGR Superior limit of normal area
Episode DM,STORN,storn,Indicator of anulation ,event,event,Episode DM STORN Indicator of anulation 
Vital Signs DM,VPPID,vppid,ID vital parameter APPEND 10,key,key,Vital Signs DM VPPID ID vital parameter APPEND 10
Diagnostic DM,PERNR,pernr,Professional unique identifier,key,key,Diagnostic DM PERNR Professional unique identifier
Vital Signs DM,PATNR,patnr,Unique patient identifier,key,key,Vital Signs DM PATNR Unique patient identifier
Order Entry DM,EINRI,einri,Medical Centre,key,key,Order Entry DM EINRI Medical Centre
Episode DM,EINRI,einri,Medical center,key,key,Episode DM EINRI Medical center
Episode DM,PATNR,patnr,Unique patient identifier,key,key,Episode DM PATNR Unique patient identifier
Pacient DM,PATNR,patnr,Patient ID Number,key,key,Pacient DM PATNR Patient ID Number
Professional DM,PERNR,pernr,Personal unique identifier,key,key,Professional DM PERNR Personal unique identifier
Monitoring Parameters DM,FALNR,falnr,Unique episode identifier,key,key,Monitoring Parameters DM FALNR Unique episode identifier
Medical Especiality DM,ORGID,orgid,Medical Specialists plus place of work  eg  Cardiology at ambulatory care   See APPEND 5,key,key,Medical Especiality DM ORGID Medical Specialists plus place of work  eg  Cardiology at ambulatory care   See APPEND 5
Order Entry DM,PATNR,patnr,Patient ID Number,key,key,Order Entry DM PATNR Patient ID Number
Medication DM,PATNR,patnr,Unique patient identifier,key,key,Medication DM PATNR Unique patient identifier
Order Entry DM,FALNR,falnr,Patient ID Episode,key,key,Order Entry DM FALNR Patient ID Episode
Order Entry DM,PERNR,pernr,Professional unique identifier,key,key,Order Entry DM PERNR Professional unique identifier
