Source,Field,Field(lower),Tokenized Source,Descriptor,Tokenized Descriptor,Label,category,text
Episode DM,ENDDTX,enddtx,episode dm,Type of end of episode APPEND 4,type end episode append 4,event,event,episode dm enddtx type end episode append 4
Medication DM,STOID,stoid,medication dm,Reason of anulation APPEND 7,reason anulation append 7,event,event,medication dm stoid reason anulation append 7
Vital Signs DM,DTTYP,dttyp,vital signs dm,Type of data of the parameter,type data parameter,event,event,vital signs dm dttyp type data parameter
Vital Signs DM,IDVS,idvs,vital signs dm,Unique identifier of vital sign,unique identifier vital sign,event,event,vital signs dm idvs unique identifier vital sign
Vital Signs DM,TYPEVS,typevs,vital signs dm,Place of record of the vital sig  APPEND 11,place record vital sig append 11,event,event,vital signs dm typevs place record vital sig append 11
Monitoring Parameters DM,WERTMAX,wertmax,monitoring parameters dm,Max value of the warning area,max value warning area,event,event,monitoring parameters dm wertmax max value warning area
Medication DM,MOSTX,mostx,medication dm,Medication  Prescription  Comment  ,medication prescription comment,event,event,medication dm mostx medication prescription comment
Vital Signs DM,VBEM,vbem,vital signs dm,Comment,comment,event,event,vital signs dm vbem comment
Diagnostic DM,DKEY1,dkey1,diagnostic dm,Code of a diagnostic APPEND 9,code diagnostic append 9,event,event,diagnostic dm dkey1 code diagnostic append 9
Monitoring Parameters DM,VBEM,vbem,monitoring parameters dm,Comment,comment,event,event,monitoring parameters dm vbem comment
Monitoring Parameters DM,WERTMIN,wertmin,monitoring parameters dm,Minimum value of the warning area,minimum value warning area,event,event,monitoring parameters dm wertmin minimum value warning area
Medication DM,MOTX,motx,medication dm, Medication  description of the prescription APPEND 6,medication description prescription append 6,event,event,medication dm motx medication description prescription append 6
Medication DM,STORN,storn,medication dm,Identifier of nullification,identifier nullification,event,event,medication dm storn identifier nullification
Episode DM,EINZG,einzg,episode dm,Health sector,health sector,event,event,episode dm einzg health sector
Episode DM,FATXT,fatxt,episode dm,Speciality for organizatoy unit APPEND 3,speciality organizatoy unit append 3,event,event,episode dm fatxt speciality organizatoy unit append 3
Episode DM,STATU,statu,episode dm,Status of the episode,status episode,event,event,episode dm statu status episode
Episode DM,FALAR,falar,episode dm,Type of episode,type episode,event,event,episode dm falar type episode
Episode DM,KRZAN,krzan,episode dm,Quick admission indicator,quick admission indicator,event,event,episode dm krzan quick admission indicator
Order Entry DM,IDODR,idodr,order entry dm,Unique identifier for order entry,unique identifier order entry,event,event,order entry dm idodr unique identifier order entry
Diagnostic DM,LFDNR,lfdnr,diagnostic dm,Number of actual diagnostic,number actual diagnostic,event,event,diagnostic dm lfdnr number actual diagnostic
Episode DM,CASETX,casetx,episode dm,Type of episode APPEND 2,type episode append 2,event,event,episode dm casetx type episode append 2
Vital Signs DM,VWERT,vwert,vital signs dm,Value of the parameter,value parameter,event,event,vital signs dm vwert value parameter
Medication DM,STUSR,stusr,medication dm,Professional id responsible of the anulation,professional id responsible anulation,event,event,medication dm stusr professional id responsible anulation
Episode DM,BEKAT,bekat,episode dm,Category of treatment  APPEND 1,category treatment append 1,event,event,episode dm bekat category treatment append 1
Monitoring Parameters DM,WERTOGR,wertogr,monitoring parameters dm,Superior limit of normal area,superior limit normal area,event,event,monitoring parameters dm wertogr superior limit normal area
Episode DM,STORN,storn,episode dm,Indicator of anulation ,indicator anulation,event,event,episode dm storn indicator anulation
Vital Signs DM,VPPID,vppid,vital signs dm,ID vital parameter APPEND 10,id vital parameter append 10,key,key,vital signs dm vppid id vital parameter append 10
Diagnostic DM,PERNR,pernr,diagnostic dm,Professional unique identifier,professional unique identifier,key,key,diagnostic dm pernr professional unique identifier
Vital Signs DM,PATNR,patnr,vital signs dm,Unique patient identifier,unique patient identifier,key,key,vital signs dm patnr unique patient identifier
Order Entry DM,EINRI,einri,order entry dm,Medical Centre,medical centre,key,key,order entry dm einri medical centre
Episode DM,EINRI,einri,episode dm,Medical center,medical center,key,key,episode dm einri medical center
Episode DM,PATNR,patnr,episode dm,Unique patient identifier,unique patient identifier,key,key,episode dm patnr unique patient identifier
Pacient DM,PATNR,patnr,pacient dm,Patient ID Number,patient id number,key,key,pacient dm patnr patient id number
Professional DM,PERNR,pernr,professional dm,Personal unique identifier,personal unique identifier,key,key,professional dm pernr personal unique identifier
Monitoring Parameters DM,FALNR,falnr,monitoring parameters dm,Unique episode identifier,unique episode identifier,key,key,monitoring parameters dm falnr unique episode identifier
Medical Especiality DM,ORGID,orgid,medical especiality dm,Medical Specialists plus place of work  eg  Cardiology at ambulatory care   See APPEND 5,medical specialists plus place work eg cardiology ambulatory care see append 5,key,key,medical especiality dm orgid medical specialists plus place work eg cardiology ambulatory care see append 5
Order Entry DM,PATNR,patnr,order entry dm,Patient ID Number,patient id number,key,key,order entry dm patnr patient id number
Medication DM,PATNR,patnr,medication dm,Unique patient identifier,unique patient identifier,key,key,medication dm patnr unique patient identifier
Order Entry DM,FALNR,falnr,order entry dm,Patient ID Episode,patient id episode,key,key,order entry dm falnr patient id episode
Order Entry DM,PERNR,pernr,order entry dm,Professional unique identifier,professional unique identifier,key,key,order entry dm pernr professional unique identifier
Order Entry DM,ORGID,orgid,order entry dm,Medical specialist plus place of work ,medical specialist plus place work,key,key,order entry dm orgid medical specialist plus place work
Monitoring Parameters DM,PERNR,pernr,monitoring parameters dm,Professional unique identifier,professional unique identifier,key,key,monitoring parameters dm pernr professional unique identifier
Medication DM,FALNR,falnr,medication dm,Unique episode identifier,unique episode identifier,key,key,medication dm falnr unique episode identifier
Medication DM,PERNR,pernr,medication dm,Professional unique identifier,professional unique identifier,key,key,medication dm pernr professional unique identifier
Diagnostic DM,FALNR,falnr,diagnostic dm,Unique episode identifier,unique episode identifier,key,key,diagnostic dm falnr unique episode identifier
Episode DM,PERNR,pernr,episode dm,ID of the professional that created the registry,id professional created registry,key,key,episode dm pernr id professional created registry
Monitoring Parameters DM,VPPID,vppid,monitoring parameters dm,ID vital parameter APPEND 10,id vital parameter append 10,key,key,monitoring parameters dm vppid id vital parameter append 10
Diagnostic DM,EINRI,einri,diagnostic dm,Medical Centre,medical centre,key,key,diagnostic dm einri medical centre
Monitoring Parameters DM,PATNR,patnr,monitoring parameters dm,Unique patient identifier,unique patient identifier,key,key,monitoring parameters dm patnr unique patient identifier
Medication DM,EINRI,einri,medication dm,Medical Center,medical center,key,key,medication dm einri medical center
Episode DM,FALNR,falnr,episode dm,Unique episode identifier,unique episode identifier,key,key,episode dm falnr unique episode identifier
Vital Signs DM,FALNR,falnr,vital signs dm,Unique episode identifier,unique episode identifier,key,key,vital signs dm falnr unique episode identifier
Patient Adress DM,ORT,ort,patient adress dm,Town,town,location,location,patient adress dm ort town
Patient Adress DM,STRAS,stras,patient adress dm,Streeet and floor,streeet floor,location,location,patient adress dm stras streeet floor
Patient Adress DM,PSTLZ,pstlz,patient adress dm,Postal Code,postal code,location,location,patient adress dm pstlz postal code
Patient Adress DM,ADRNR,adrnr,patient adress dm,House number ,house number,location,location,patient adress dm adrnr house number
Patient Adress DM,FLOOR,floor,patient adress dm, Floor,floor,location,location,patient adress dm floor floor
Pacient DM,TELF1,telf1,pacient dm, Patient telephone,patient telephone,person,person,pacient dm telf1 patient telephone
Professional DM,ERUSR,erusr,professional dm,Username of the professional,username professional,person,person,professional dm erusr username professional
Pacient DM,GBDAT,gbdat,pacient dm,Date of born,date born,person,person,pacient dm gbdat date born
Pacient DM,RVNUM,rvnum,pacient dm,Social Healthcare number,social healthcare number,person,person,pacient dm rvnum social healthcare number
Professional DM,GBDAT,gbdat,professional dm,Date of birth,date birth,person,person,professional dm gbdat date birth
Pacient DM,NAMZU ,namzu ,pacient dm,  Sr or Sra naming,sr sra naming,person,person,pacient dm namzu  sr sra naming
Professional DM,RANK,rank,professional dm,Jerarchy  APPEND 8,jerarchy append 8,person,person,professional dm rank jerarchy append 8
Pacient DM,NNAME,nname,pacient dm,First surname,first surname,person,person,pacient dm nname first surname
Pacient DM,GLRAND,glrand,pacient dm,Patient nationality ,patient nationality,person,person,pacient dm glrand patient nationality
Pacient DM,GSCHL,gschl,pacient dm,Genere  Sex ,genere sex,person,person,pacient dm gschl genere sex
Pacient DM,GBNAM,gbnam,pacient dm,Second surname,second surname,person,person,pacient dm gbnam second surname
Pacient DM,VNAME,vname,pacient dm,Name,name,person,person,pacient dm vname name
Professional DM,BEGDT,begdt,professional dm,Start of the validity of the record ,start validity record,time,time,professional dm begdt start validity record
Vital Signs DM,ERDAT,erdat,vital signs dm,Date of the creation of the record,date creation record,time,time,vital signs dm erdat date creation record
Monitoring Parameters DM,DATYP,datyp,monitoring parameters dm,Date of the creation of the registry,date creation registry,time,time,monitoring parameters dm datyp date creation registry
Episode DM,BEGDT,begdt,episode dm,Date of the start of the episode,date start episode,time,time,episode dm begdt date start episode
Medication DM,ERDAT,erdat,medication dm,Date of the creation of the registry,date creation registry,time,time,medication dm erdat date creation registry
Episode DM,ENDDT,enddt,episode dm,Date of end of the episode,date end episode,time,time,episode dm enddt date end episode
Medication DM,STDAT,stdat,medication dm,Date of anulation,date anulation,time,time,medication dm stdat date anulation
Professional DM,ENDDT,enddt,professional dm,End of the validity of the record ,end validity record,time,time,professional dm enddt end validity record
Professional DM,ERDAT,erdat,professional dm,Date of the creation of the record ,date creation record,time,time,professional dm erdat date creation record
Haematology  Lab Data Restruct,SampleRequesterComment,samplerequestercomment,haematology lab data restruct,No Column Description Available,column description available,event,event,haematology lab data restruct samplerequestercomment column description available
Cataracts Biometry Cataract su,Meridian_K1FE,meridian_k1fe,cataracts biometry cataract su,Meridian K1FE,meridian k1fe,event,event,cataracts biometry cataract su meridian_k1fe meridian k1fe
Haematology  Lab Data Restruct,ClinicalDataRequired,clinicaldatarequired,haematology lab data restruct,Contains comments from the original requestor  May give the reason for requesting the test  or comments on condition  last eaten etc  This field is not populated for legacy data  ,contains comments original requestor may give reason requesting test comments condition last eaten etc field populated legacy data,event,event,haematology lab data restruct clinicaldatarequired contains comments original requestor may give reason requesting test comments condition last eaten etc field populated legacy data
Immunology  Extractable Immuno,Result,result,immunology extractable immuno,This field represents the result of the test done in decimal format  ,field represents result test done decimal format,event,event,immunology extractable immuno result field represents result test done decimal format
Cataracts Biometry Cataract su,LensThicknessFE,lensthicknessfe,cataracts biometry cataract su,LensThicknessFE,lensthicknessfe,event,event,cataracts biometry cataract su lensthicknessfe lensthicknessfe
Cataracts Biometry Cataract su,A1FE,a1fe,cataracts biometry cataract su,A1FE,a1fe,event,event,cataracts biometry cataract su a1fe a1fe
Haematology  Lab Data Restruct,TestSet_ClinicalCircumstanceDescription,testset_clinicalcircumstancedescription,haematology lab data restruct,This is a textual description supplied by the local lab systems  ,textual description supplied local lab systems,event,event,haematology lab data restruct testset_clinicalcircumstancedescription textual description supplied local lab systems
Microbiology   Tayside Tests,Result,result,microbiology tayside tests,This field represents the result  This may contain text based results  which have historically been truncated  This has been investigated  and the source data from NHST lab has also been truncated  ,field represents result may contain text based results historically truncated investigated source data nhst lab also truncated,event,event,microbiology tayside tests result field represents result may contain text based results historically truncated investigated source data nhst lab also truncated
Cataracts Biometry Cataract su,DeltaK1_DFE,deltak1_dfe,cataracts biometry cataract su,DeltaK1 DFE,deltak1 dfe,event,event,cataracts biometry cataract su deltak1_dfe deltak1 dfe
Cataracts Biometry Cataract su,Dioptres_K1,dioptres_k1,cataracts biometry cataract su,Dioptres K1,dioptres k1,event,event,cataracts biometry cataract su dioptres_k1 dioptres k1
Pathology  Tayside ,ResultTextLarge,resulttextlarge,pathology tayside,This field represents the test results in   seperated form ,field represents test results seperated form,event,event,pathology tayside resulttextlarge field represents test results seperated form
Cataracts Biometry Cataract su,FellowEyeIndicator,felloweyeindicator,cataracts biometry cataract su,FellowEyeIndicator,felloweyeindicator,event,event,cataracts biometry cataract su felloweyeindicator felloweyeindicator
